position,season,games_played_season,fantasy_points,player_type,points_per_game
TE,2020,13.0,182.3,offensive,14.02
WR,2020,16.0,174.3,offensive,10.89
WR,2020,13.0,115.10000000000001,offensive,8.85
TE,2020,11.0,78.7,offensive,7.15
QB,2020,4.0,34.36,offensive,8.59
WR,2020,14.0,164.4,offensive,11.74
WR,2020,11.0,103.5,offensive,9.41
RB,2020,10.0,161.7,offensive,16.17
QB,2020,14.0,487.1,offensive,34.79
TE,2020,13.0,56.8,offensive,4.37
RB,2020,5.0,26.4,offensive,5.28
RB,2020,5.0,1.1,offensive,0.22
RB,2020,13.0,154.5,offensive,11.88
WR,2020,14.0,162.3,offensive,11.59
TE,2020,15.0,172.3,offensive,11.49
TE,2020,16.0,161.1,offensive,10.07
WR,2020,15.0,287.5,offensive,19.17
RB,2020,11.0,25.1,offensive,2.28
RB,2020,8.0,80.30000000000001,offensive,10.04
WR,2020,6.0,13.5,offensive,2.25
QB,2020,16.0,447.62,offensive,27.98
QB,2020,16.0,697.06,offensive,43.57
QB,2020,11.0,201.21999999999997,offensive,18.29
WR,2020,11.0,42.3,offensive,3.85
WR,2020,12.0,93.52000000000001,offensive,7.79
TE,2020,12.0,126.5,offensive,10.54
RB,2020,13.0,85.9,offensive,6.61
RB,2020,6.0,8.0,offensive,1.33
TE,2020,7.0,50.0,offensive,7.14
WR,2020,16.0,99.60000000000001,offensive,6.22
TE,2020,12.0,10.9,offensive,0.91
WR,2020,8.0,16.900000000000002,offensive,2.11
WR,2020,6.0,4.4,offensive,0.73
WR,2020,16.0,129.1,offensive,8.07
RB,2020,5.0,36.2,offensive,7.24
WR,2020,4.0,2.5,offensive,0.62
RB,2020,4.0,4.3,offensive,1.08
WR,2020,9.0,43.400000000000006,offensive,4.82
WR,2020,9.0,39.7,offensive,4.41
WR,2020,15.0,213.8,offensive,14.25
RB,2020,15.0,60.900000000000006,offensive,4.06
QB,2020,16.0,576.74,offensive,36.05
TE,2020,16.0,170.3,offensive,10.64
QB,2020,7.0,102.16,offensive,14.59
RB,2020,12.0,136.4,offensive,11.37
WR,2020,5.0,6.5,offensive,1.3
RB,2020,16.0,105.60000000000001,offensive,6.6
RB,2020,16.0,104.8,offensive,6.55
QB,2020,5.0,28.94,offensive,5.79
WR,2020,7.0,14.9,offensive,2.13
QB,2020,9.0,283.66,offensive,31.52
RB,2020,6.0,16.700000000000003,offensive,2.78
WR,2020,14.0,101.5,offensive,7.25
RB,2020,8.0,82.2,offensive,10.28
TE,2020,10.0,69.9,offensive,6.99
RB,2020,8.0,11.100000000000001,offensive,1.39
WR,2020,8.0,96.8,offensive,12.1
WR,2020,16.0,101.1,offensive,6.32
WR,2020,9.0,71.5,offensive,7.94
WR,2020,6.0,25.5,offensive,4.25
WR,2020,6.0,2.3000000000000007,offensive,0.38
WR,2020,11.0,51.800000000000004,offensive,4.71
WR,2020,16.0,123.00000000000001,offensive,7.69
RB,2020,10.0,0.0,offensive,0.0
RB,2020,10.0,59.300000000000004,offensive,5.93
WR,2020,10.0,67.0,offensive,6.7
RB,2020,9.0,35.8,offensive,3.98
WR,2020,13.0,60.900000000000006,offensive,4.68
RB,2020,8.0,16.0,offensive,2.0
TE,2020,16.0,48.9,offensive,3.06
WR,2020,16.0,300.3,offensive,18.77
TE,2020,13.0,115.5,offensive,8.88
WR,2020,5.0,25.400000000000002,offensive,5.08
QB,2020,4.0,27.16,offensive,6.79
RB,2020,9.0,72.3,offensive,8.03
WR,2020,15.0,178.8,offensive,11.92
WR,2020,16.0,213.0,offensive,13.31
RB,2020,15.0,123.9,offensive,8.26
TE,2020,8.0,29.4,offensive,3.68
WR,2020,14.0,303.5,offensive,21.68
RB,2020,15.0,232.8,offensive,15.52
TE,2020,11.0,76.8,offensive,6.98
RB,2020,15.0,198.3,offensive,13.22
WR,2020,13.0,96.6,offensive,7.43
QB,2020,12.0,270.38,offensive,22.53
QB,2020,13.0,233.64,offensive,17.97
WR,2020,5.0,51.0,offensive,10.2
RB,2020,5.0,20.299999999999997,offensive,4.06
RB,2020,14.0,231.4,offensive,16.53
WR,2020,4.0,9.0,offensive,2.25
RB,2020,4.0,21.3,offensive,5.32
RB,2020,6.0,56.00000000000001,offensive,9.33
RB,2020,5.0,11.4,offensive,2.28
WR,2020,11.0,21.300000000000004,offensive,1.94
RB,2020,12.0,109.10000000000001,offensive,9.09
WR,2020,8.0,1.3000000000000003,offensive,0.16
WR,2020,16.0,175.9,offensive,10.99
QB,2020,10.0,221.46,offensive,22.15
WR,2020,5.0,18.7,offensive,3.74
RB,2020,13.0,168.8,offensive,12.98
TE,2020,12.0,69.8,offensive,5.82
WR,2020,6.0,65.3,offensive,10.88
RB,2020,8.0,27.700000000000003,offensive,3.46
WR,2020,12.0,51.9,offensive,4.32
RB,2020,13.0,99.6,offensive,7.66
WR,2020,13.0,68.9,offensive,5.3
WR,2020,10.0,61.2,offensive,6.12
WR,2020,7.0,27.700000000000003,offensive,3.96
WR,2020,10.0,128.3,offensive,12.83
RB,2020,8.0,36.50000000000001,offensive,4.56
WR,2020,14.0,159.1,offensive,11.36
RB,2020,8.0,37.1,offensive,4.64
WR,2020,4.0,28.6,offensive,7.15
RB,2020,12.0,154.8,offensive,12.9
WR,2020,11.0,70.9,offensive,6.45
TE,2020,14.0,56.0,offensive,4.0
RB,2020,4.0,26.1,offensive,6.52
WR,2020,16.0,131.1,offensive,8.19
WR,2020,16.0,256.2,offensive,16.01
WR,2020,16.0,255.5,offensive,15.97
RB,2020,13.0,159.3,offensive,12.25
WR,2020,14.0,23.1,offensive,1.65
RB,2020,11.0,16.700000000000003,offensive,1.52
QB,2020,15.0,562.8399999999999,offensive,37.52
WR,2020,11.0,77.60000000000001,offensive,7.05
WR,2020,16.0,191.7,offensive,11.98
RB,2020,13.0,150.0,offensive,11.54
WR,2020,8.0,21.680000000000003,offensive,2.71
WR,2020,9.0,37.3,offensive,4.14
RB,2020,13.0,58.2,offensive,4.48
WR,2020,5.0,7.300000000000001,offensive,1.46
WR,2020,10.0,36.0,offensive,3.6
QB,2020,14.0,142.14,offensive,10.15
WR,2020,10.0,6.799999999999999,offensive,0.68
WR,2020,16.0,123.60000000000001,offensive,7.72
WR,2020,15.0,197.60000000000002,offensive,13.17
WR,2020,11.0,88.7,offensive,8.06
RB,2020,10.0,96.7,offensive,9.67
WR,2020,13.0,35.9,offensive,2.76
TE,2020,10.0,35.1,offensive,3.51
TE,2020,4.0,30.1,offensive,7.52
RB,2020,8.0,51.900000000000006,offensive,6.49
WR,2020,10.0,52.900000000000006,offensive,5.29
WR,2020,5.0,6.300000000000001,offensive,1.26
QB,2020,10.0,267.71999999999997,offensive,26.77
RB,2020,6.0,30.299999999999997,offensive,5.05
QB,2021,17.0,716.74,offensive,42.16
QB,2021,15.0,333.18,offensive,22.21
QB,2021,14.0,550.3199999999999,offensive,39.31
TE,2021,13.0,19.400000000000002,offensive,1.49
WR,2021,5.0,3.200000000000001,offensive,0.64
QB,2021,17.0,366.92,offensive,21.58
WR,2021,13.0,38.1,offensive,2.93
WR,2021,13.0,35.9,offensive,2.76
QB,2021,4.0,-0.7199999999999998,offensive,-0.18
QB,2021,17.0,647.74,offensive,38.1
TE,2021,15.0,112.4,offensive,7.49
TE,2021,12.0,188.2,offensive,15.68
WR,2021,14.0,135.7,offensive,9.69
QB,2021,7.0,59.30000000000001,offensive,8.47
TE,2021,10.0,67.9,offensive,6.79
WR,2021,4.0,60.300000000000004,offensive,15.08
QB,2021,5.0,48.480000000000004,offensive,9.7
WR,2021,14.0,126.60000000000001,offensive,9.04
WR,2021,7.0,30.300000000000004,offensive,4.33
QB,2021,6.0,1.98,offensive,0.33
RB,2021,13.0,37.800000000000004,offensive,2.91
RB,2021,13.0,5.2,offensive,0.4
RB,2021,13.0,36.8,offensive,2.83
QB,2021,8.0,144.2,offensive,18.02
TE,2021,15.0,43.7,offensive,2.91
WR,2021,11.0,127.6,offensive,11.6
TE,2021,6.0,24.5,offensive,4.08
QB,2021,5.0,109.84,offensive,21.97
WR,2021,4.0,22.1,offensive,5.52
WR,2021,15.0,81.10000000000001,offensive,5.41
RB,2021,16.0,101.1,offensive,6.32
QB,2021,14.0,430.82,offensive,30.77
WR,2021,17.0,149.2,offensive,8.78
QB,2021,15.0,500.44000000000005,offensive,33.36
WR,2021,8.0,77.5,offensive,9.69
WR,2021,8.0,17.7,offensive,2.21
QB,2021,17.0,428.36,offensive,25.2
WR,2021,13.0,246.8,offensive,18.98
TE,2021,17.0,23.0,offensive,1.35
TE,2021,17.0,82.80000000000001,offensive,4.87
TE,2021,17.0,52.900000000000006,offensive,3.11
WR,2021,14.0,45.2,offensive,3.23
WR,2021,4.0,19.4,offensive,4.85
TE,2021,14.0,56.1,offensive,4.01
TE,2021,15.0,80.2,offensive,5.35
WR,2021,15.0,186.0,offensive,12.4
RB,2021,13.0,77.30000000000001,offensive,5.95
WR,2021,9.0,136.2,offensive,15.13
RB,2021,10.0,70.1,offensive,7.01
TE,2021,16.0,268.8,offensive,16.8
RB,2021,12.0,75.2,offensive,6.27
QB,2021,6.0,56.900000000000006,offensive,9.48
WR,2021,9.0,29.200000000000003,offensive,3.24
WR,2021,10.0,201.2,offensive,20.12
QB,2021,4.0,94.28,offensive,23.57
RB,2021,15.0,213.1,offensive,14.21
WR,2021,5.0,1.2000000000000002,offensive,0.24
WR,2021,10.0,21.0,offensive,2.1
RB,2021,8.0,56.2,offensive,7.02
RB,2021,11.0,33.8,offensive,3.07
WR,2021,14.0,24.6,offensive,1.76
WR,2021,14.0,-0.19999999999999996,offensive,-0.01
